# x0=40, y0=-20, x1=40, y1=-56.3, x2=40, y2=-63.8
# time  ux_r0  uy_r0  ux_r1  uy_r1  ux_r2  uy_r2
0 0 0 0 0 0 0
8.33e-06 0 0 0 0 0 0
1.666e-05 0 0 0 0 0 0
2.499e-05 0 0 0 0 0 0
3.332e-05 0 0 0 0 0 0
4.165e-05 0 0 0 0 0 0
4.998e-05 0 0 0 0 0 0
0.00081634 -1.75429e-43 -2.1444e-56 -3.56676e-87 9.73907e-88 1.21787e-96 -3.40308e-101
0.00082467 -1.87837e-43 -6.36468e-56 -5.07154e-87 1.36566e-87 1.88307e-96 -5.01138e-101
0.000833 -1.95769e-43 -1.16525e-55 -7.14968e-87 1.89862e-87 2.88954e-96 -7.28502e-101
0.00084133 -1.9755e-43 -1.8041e-55 -9.99206e-87 2.61665e-87 4.40061e-96 -1.04504e-100
0.00084966 -1.91296e-43 -2.5509e-55 -1.3841e-86 3.5743e-87 6.65185e-96 -1.47862e-100
0.00085799 -1.74932e-43 -3.39664e-55 -1.89987e-86 4.8381e-87 9.98013e-96 -2.06223e-100
0.00086632 -1.46231e-43 -4.32386e-55 -2.5835e-86 6.48752e-87 1.48631e-95 -2.83292e-100
0.00087465 -1.02864e-43 -5.30522e-55 -3.47908e-86 8.61491e-87 2.1972e-95 -3.82918e-100
0.00088298 -4.24697e-44 -6.30231e-55 -4.63776e-86 1.13242e-86 3.22421e-95 -5.0859e-100
0.00089131 3.72532e-44 -7.26439e-55 -6.11651e-86 1.4727e-86 4.69648e-95 -6.62594e-100
0.00089964 1.38439e-43 -8.12801e-55 -7.97549e-86 1.89356e-86 6.79062e-95 -8.44665e-100
0.00090797 2.62922e-43 -8.8169e-55 -1.0273e-85 2.40512e-86 9.74592e-95 -1.04999e-99
0.0009163 4.12086e-43 -9.24206e-55 -1.3057e-85 3.01445e-86 1.38834e-94 -1.26635e-99
0.00092463 5.86691e-43 -9.30367e-55 -1.63518e-85 3.72286e-86 1.9629e-94 -1.47021e-99
0.00093296 7.8668e-43 -8.89311e-55 -2.01386e-85 4.5218e-86 2.75422e-94 -1.62152e-99
0.00094129 1.01098e-42 -7.89685e-55 -2.43263e-85 5.38736e-86 3.83487e-94 -1.6572e-99
0.00094962 1.25727e-42 -6.19978e-55 -2.87122e-85 6.2727e-86 5.29783e-94 -1.48309e-99
0.00095795 1.52179e-42 -3.69151e-55 -3.29262e-85 7.09807e-86 7.26056e-94 -9.64828e-100
0.00096628 1.79908e-42 -2.74014e-56 -3.63584e-85 7.73794e-86 9.86921e-94 8.20979e-101
0.00097461 2.0818e-42 4.13319e-55 -3.80625e-85 8.00468e-86 1.33024e-93 1.90193e-99
0.00098294 2.36055e-42 9.5808e-55 -3.66336e-85 7.62844e-86 1.77739e-93 4.80623e-99
0.00099127 2.62369e-42 1.60814e-54 -3.00538e-85 6.23288e-86 2.35335e-93 9.17679e-99
0.0009996 2.85726e-42 2.35988e-54 -1.55041e-85 3.30653e-86 3.08637e-93 1.54602e-98
0.00100793 3.04492e-42 3.20393e-54 1.0861e-85 -1.8297e-86 4.00711e-93 2.41486e-98
0.00101626 3.16801e-42 4.12395e-54 5.41752e-85 -1.00584e-85 5.14685e-93 3.57404e-98
0.00102459 3.20564e-42 5.09583e-54 1.21153e-84 -2.2503e-85 6.53445e-93 5.06716e-98
0.00103292 3.13498e-42 6.08696e-54 2.20407e-84 -4.05645e-85 8.19142e-93 6.92079e-98
0.00104125 2.93158e-42 7.05566e-54 3.62762e-84 -6.59527e-85 1.01246e-92 9.12873e-98
0.00104958 2.56992e-42 7.95097e-54 5.61548e-84 -1.00707e-84 1.23153e-92 1.163e-97
0.00105791 2.02405e-42 8.71271e-54 8.32815e-84 -1.472e-84 1.47042e-92 1.42796e-97
0.00106624 1.26839e-42 9.27204e-54 1.19541e-83 -2.08108e-84 1.71707e-92 1.68114e-97
0.00107457 2.78804e-43 9.55272e-54 1.67083e-83 -2.86341e-84 1.95044e-92 1.87931e-97
0.0010829 -9.66307e-43 9.4728e-54 2.28269e-83 -3.84911e-84 2.13688e-92 1.95745e-97
0.00109123 -2.48461e-42 8.94709e-54 3.05576e-83 -5.06722e-84 2.22538e-92 1.82324e-97
0.00109956 -4.28838e-42 7.88998e-54 4.01418e-83 -6.54238e-84 2.14158e-92 1.35167e-97
0.00110789 -6.38282e-42 6.21947e-54 5.17882e-83 -8.29029e-84 1.78039e-92 3.80758e-98
0.00111622 -8.76431e-42 3.86128e-54 6.5633e-83 -1.03113e-83 9.97096e-93 -1.29024e-97
0.00112455 -1.14186e-41 7.54283e-55 8.16851e-83 -1.25822e-83 -4.03169e-93 -3.89842e-97
0.00113288 -1.43189e-41 -3.14426e-54 9.97498e-83 -1.50447e-83 -2.6774e-92 -7.70786e-97
0.00114121 -1.7424e-41 -7.85213e-54 1.1933e-82 -1.75923e-83 -6.15797e-92 -1.29902e-96
